Account ID,City,State,BFPO No,Postcode,Country,Total Gifts (All Time),Last Gift Date,Number of Gifts Past 18 Months
001PY00000ffFTXYA2,Tarzana,CA,,,,$100.00 ,10/9/2020,0
001PY00000ff2QHYAY,Ventura,CA,,,,"$109,000.00 ",2/23/2024,0
001PY00000ffH4tYAE,Ventura,CA,,,,"$3,000.00 ",11/5/2024,1
001PY00000fbbl8YAA,Ventura,CA,,,,"$65,172.50 ",2/18/2020,0
001PY00000ffGcfYAE,West Sacramento,CA,,,,$25.00 ,3/29/2021,0
001PY00000ffGceYAE,Woodland Hills,CA,,,,$35.00 ,3/29/2021,0
001PY00000ffQDHYA2,Woodside,CA,,,,"$10,000.00 ",10/14/2025,2
001PY00000ffSajYAE,,CA,,,,$25.00 ,4/22/2023,0
001PY00000fyRb9YAE,,CA,,,,$100.00 ,2/12/2025,1
001PY00000fyRbdYAE,,CA,,,,$100.00 ,3/2/2025,1
001PY00000fewu5YAA,Beulah Valley,CO,,,,$255.00 ,10/9/2025,1
001PY00000ffzULYAY,Boulder,CO,,,,$100.00 ,6/10/2021,0
001PY00000wwmXbYAI,Boulder,CO,,,,$100.00 ,8/15/2025,1
001PY00000ffQcpYAE,Fort Collins,CO,,,,$10.00 ,7/28/2024,1
001PY00000fbcVzYAI,Fort Collins,CO,,,,"$1,634.00 ",7/13/2024,1
001PY00000ffMarYAE,Glenwood Springs,CO,,,,$50.00 ,4/9/2023,0
001PY00000ksvDbYAI,Lakewood,CO,,,,"$1,760.00 ",5/21/2025,1
001PY00000ffAOfYAM,Oak Creek,CO,,,,"$4,630.00 ",11/26/2023,0
001PY00000ffGd8YAE,Placerville,CO,,,,$200.00 ,4/15/2021,0
001PY00000fyRdaYAE,,CO,,,,$50.00 ,1/22/2025,1
001PY00000ffzUSYAY,Avon,CT,,,,$50.00 ,6/24/2021,0
001PY00000ff5d5YAA,Avon,CT,,,,$825.00 ,1/10/2022,0
001PY00000ff5cAYAQ,Bantam,CT,,,,"$1,145.00 ",6/26/2025,1
001PY00000ffHaMYAU,Bethel,CT,,,,$50.00 ,10/1/2021,0
001PY00000ff5CDYAY,Bethel,CT,,,,$760.00 ,12/31/2023,0
001PY00000fed5VYAQ,Bishops Corner,CT,,,,$140.00 ,5/23/2022,0
001PY00000ff3mSYAQ,Branford,CT,,,,"$1,500.00 ",8/4/2020,0
001PY00000ffCSCYA2,Branford,CT,,,,$70.00 ,1/24/2022,0
001PY00000fekxGYAQ,Bridgeport,CT,,,,$800.00 ,4/25/2023,0
001PY00000feELiYAM,Bridgeport,CT,,,,$35.00 ,10/3/2024,1
001PY00000hijaAYAQ,Bridgeport,CT,,,,$10.60 ,4/25/2025,1
001PY00000k1Et5YAE,Bridgeport,CT,,,,$40.00 ,5/13/2025,1
001PY00000ff3m8YAA,Bridgewater,CT,,,,"$8,730.00 ",10/26/2023,0
001PY00000ffQ8PYAU,Brookfield,CT,,,,$25.00 ,4/22/2024,1
001PY00000ffRDZYA2,Collinsville,CT,,,,$50.00 ,12/3/2024,1
001PY00000ffHaIYAU,Cos Cob,CT,,,,"$1,000.00 ",9/29/2021,0
001PY00000fe6tUYAQ,Cos Cob,CT,,,,"$57,345.00 ",8/25/2025,2
001PY00000ffDOFYA2,Danbury,CT,,,,$120.00 ,5/17/2022,0
001PY00000ffKEqYAM,Danbury,CT,,,,$50.00 ,11/4/2022,0
001PY00000ffD80YAE,Darien,CT,,,,$400.00 ,6/3/2020,0
001PY00000ff7B9YAI,Darien,CT,,,,$220.00 ,12/31/2022,0
001PY00000ffJMwYAM,East Haven,CT,,,,$25.00 ,6/30/2022,0
001PY00000ff8BiYAI,Easton,CT,,,,"$16,051.75 ",11/30/2021,0
001PY00000fe1wkYAA,Fairfield,CT,,,,"$1,850.00 ",12/10/2020,0
001PY00000ffH20YAE,Fairfield,CT,,,,$15.00 ,6/19/2021,0
001PY00000ffIXYYA2,Fairfield,CT,,,,$25.00 ,4/18/2022,0
001PY00000ffJn4YAE,Fairfield,CT,,,,$25.00 ,9/13/2022,0
001PY00000feqOnYAI,Fairfield,CT,,,,$5.18 ,3/31/2023,0
001PY00000ffQ7KYAU,Fairfield,CT,,,,"$1,000.00 ",4/2/2024,1
001PY00000ff2qRYAQ,Fairfield,CT,,,,$245.00 ,5/15/2024,1
001PY00000fbc25YAA,Fairfield,CT,,,,"$551,000.00 ",12/23/2022,0
001PY00000fefNbYAI,Falls Village,CT,,,,$610.00 ,11/17/2021,0
001PY00000ffFPWYA2,Glastonbury,CT,,,,$410.00 ,1/13/2020,0
001PY00000ffRDxYAM,Glastonbury,CT,,,,$50.00 ,12/7/2024,1
001PY00000ff2UyYAI,Goshen,CT,,,,"$1,360.00 ",4/28/2025,2
001PY00000ffCQlYAM,Greenwich,CT,,,,$370.00 ,9/1/2020,0
001PY00000ff8EEYAY,Greenwich,CT,,,,$579.04 ,12/11/2020,0
001PY00000fe0lJYAQ,Greenwich,CT,,,,"$16,000.00 ",11/8/2021,0
001PY00000ffzY9YAI,Greenwich,CT,,,,$103.62 ,4/26/2022,0
001PY00000ffKKGYA2,Greenwich,CT,,,,"$1,000.00 ",12/14/2022,0
001PY00000ffRdxYAE,Greenwich,CT,,,,"$1,500.00 ",2/28/2024,0
001PY00000ff3MIYAY,Greenwich,CT,,,,$690.00 ,12/4/2024,1
001PY00000fbbnRYAQ,Greenwich,CT,,,,"$190,000.00 ",11/12/2020,0
001PY00000ffRFUYA2,Hamden,CT,,,,$25.00 ,12/16/2024,1
001PY00000ffCSqYAM,Hartford,CT,,,,$35.00 ,6/15/2022,0
001PY00000ff55nYAA,Hartford,CT,,,,$325.00 ,12/27/2022,0
001PY00000ffQo9YAE,Harwinton,CT,,,,$15.85 ,8/24/2024,1
001PY00000ff524YAA,Jewett City,CT,,,,$115.00 ,6/3/2020,0
001PY00000fegdmYAA,Madison,CT,,,,$635.00 ,1/6/2025,1
001PY00000fbbgjYAA,Milford,CT,,,,"$2,000.00 ",10/18/2022,0
001PY00000k0fAcYAI,Naugatuck,CT,,,,$40.00 ,5/13/2025,1
001PY00000ff3N5YAI,New Canaan,CT,,,,"$1,355.00 ",11/20/2021,0
001PY00000ffAHlYAM,New Fairfield,CT,,,,$250.00 ,10/28/2021,0
001PY00000ff3MYYAY,New Haven,CT,,,,$440.00 ,12/8/2022,0
001PY00000feD9MYAU,New Haven,CT,,,,$425.00 ,1/22/2025,1
001PY00000ffHLvYAM,New Milford,CT,,,,$20.00 ,4/22/2021,0
001PY00000fea2hYAA,New Milford,CT,,,,$120.00 ,5/17/2022,0
001PY00000ff6sTYAQ,New Milford,CT,,,,$401.90 ,2/8/2023,0
001PY00000ffK5ZYAU,New Milford,CT,,,,$100.00 ,12/4/2024,1
001PY00000ff3EiYAI,Northford,CT,,,,"$1,380.00 ",12/30/2020,0
001PY00000ffFRIYA2,Norwalk,CT,,,,$20.00 ,5/21/2020,0
001PY00000ffGtsYAE,Norwalk,CT,,,,$25.00 ,5/11/2021,0
001PY00000ff4cXYAQ,Norwalk,CT,,,,$640.00 ,12/14/2022,0
001PY00000ffJi7YAE,Norwalk,CT,,,,$88.00 ,12/4/2024,1
001PY00000febDNYAY,Norwalk,CT,,,,$300.00 ,2/9/2025,7
001PY00000fbbghYAA,Norwalk,CT,,,,$750.00 ,1/10/2022,0
001PY00000feYf9YAE,Old Greenwich,CT,,,,$921.07 ,12/31/2024,1
001PY00000fbbhiYAA,Old Greenwich,CT,,,,"$20,000.00 ",10/6/2025,2
001PY00000ff529YAA,Redding,CT,,,,$355.00 ,12/28/2022,0
001PY00000xcrw5YAA,Redding,CT,,,,$60.02 ,8/25/2025,2
001PY00000ff76YYAQ,Redding Center,CT,,,,"$934,663.71 ",7/7/2025,3
001PY00000nHhxUYAS,Ridgefield,CT,,,,$131.25 ,6/9/2025,1
001PY00000ffDNEYA2,Ridgefield,CT,,,,$162.87 ,11/30/2022,0
001PY00000ffRdXYAU,Ridgefield,CT,,,,$286.00 ,7/1/2024,4
001PY00000feikmYAA,Ridgefield,CT,,,,"$3,332.50 ",10/8/2025,22
001PY00000ffHWRYA2,Riverside,CT,,,,$20.00 ,4/23/2022,0
001PY00000ffIpSYAU,Riverside,CT,,,,$40.00 ,5/17/2022,0
001PY00000ffH1jYAE,Riverside,CT,,,,$434.00 ,5/15/2023,0
001PY00000ff51sYAA,Salisbury,CT,,,,$145.50 ,5/17/2021,0
001PY00000ffHaQYAU,Sandy Hook,CT,,,,$30.00 ,10/1/2021,0
001PY00000featlYAA,Sharon,CT,,,,"$1,493.14 ",6/13/2025,2
001PY00000ff3lnYAA,Southport,CT,,,,"$1,540.00 ",4/19/2021,0
001PY00000ffFQoYAM,Stamford,CT,,,,$25.00 ,5/21/2020,0
001PY00000ffBu0YAE,Stamford,CT,,,,$60.00 ,10/8/2020,0
001PY00000feJ5tYAE,Stamford,CT,,,,$75.00 ,12/25/2020,0
001PY00000ffGtqYAE,Stamford,CT,,,,$50.00 ,5/10/2021,0
001PY00000ffA4gYAE,Stamford,CT,,,,$200.00 ,12/28/2021,0
001PY00000ff5qJYAQ,Stamford,CT,,,,$460.00 ,1/6/2023,0
001PY00000ffPjlYAE,Stamford,CT,,,,$15.00 ,2/28/2024,0
001PY00000ffQzwYAE,Stamford,CT,,,,$100.00 ,9/28/2024,1
001PY00000ff2njYAA,Stamford,CT,,,,"$18,400.00 ",12/11/2024,1
001PY00000ffDSzYAM,Stamford,CT,,,,$350.00 ,5/15/2025,2
001PY00000ffO2jYAE,Stamford,CT,,,,$120.00 ,5/15/2025,2
001PY00000ffHCAYA2,Storrs,CT,,,,$180.00 ,3/2/2021,0
001PY00000fen71YAA,Stratford,CT,,,,$890.00 ,9/20/2024,1
001PY00000ff89AYAQ,Stratford,CT,,,,$900.00 ,11/5/2024,1
001PY00000jjzbjYAA,Stratford,CT,,,,$82.40 ,5/12/2025,2
001PY00000jjxV8YAI,Stratford,CT,,,,$41.20 ,5/12/2025,1
001PY00000ff9mDYAQ,Stratford,CT,,,,"$1,083.42 ",9/27/2025,16
001PY00000ffPshYAE,Tolland,CT,,,,$100.00 ,3/26/2024,0
001PY00000ffFQOYA2,Waterbury,CT,,,,$5.00 ,5/21/2020,0
001PY00000ffH1lYAE,West Hartford,CT,,,,$100.00 ,6/12/2021,0
001PY00000ffCzzYAE,West Hartford,CT,,,,$20.00 ,11/6/2021,0
001PY00000ffHuAYAU,West Hartford,CT,,,,$400.00 ,12/29/2024,1
001PY00000feAJZYA2,West Redding,CT,,,,"$2,902.00 ",12/31/2022,0
001PY00000ffDNjYAM,Weston,CT,,,,$350.00 ,4/13/2023,0
001PY00000ff2nwYAA,Weston,CT,,,,"$1,050.00 ",5/3/2024,1
001PY00000ff69lYAA,Weston,CT,,,,$190.00 ,5/13/2025,1
001PY00000ff92uYAA,Weston,CT,,,,"$19,020.00 ",5/18/2025,2
001PY00000ffH1LYAU,Westport,CT,,,,$10.25 ,5/17/2021,0
001PY00000fdzaGYAQ,Westport,CT,,,,$15.00 ,12/31/2021,0
001PY00000ff8zoYAA,Westport,CT,,,,$587.50 ,2/11/2022,0
001PY00000ff1NaYAI,Wilton,CT,,,,"$1,100.00 ",12/28/2021,0
001PY00000feaVGYAY,Wilton,CT,,,,$70.00 ,9/22/2022,0
001PY00000ffBtxYAE,Wilton,CT,,,,$120.00 ,5/16/2023,0
001PY00000ff1RpYAI,Wilton,CT,,,,"$1,270.00 ",11/28/2023,0
001PY00000ffSacYAE,Woodbury,CT,,,,$245.00 ,11/30/2021,0
001PY00000ffQXGYA2,,CT,,,,$362.50 ,12/3/2024,2
001PY00000fyRaWYAU,,CT,,,,$200.00 ,12/28/2024,1
001PY00000fyRacYAE,,CT,,,,$150.00 ,12/30/2024,1
001PY00000ffzXyYAI,Washington,DC,,,,$50.00 ,12/22/2021,0
001PY00000ffKrdYAE,Washington,DC,,,,$100.00 ,12/31/2021,0
001PY00000ffEIxYAM,Washington,DC,,,,$990.00 ,4/15/2022,0
001PY00000ffIoTYAU,Washington,DC,,,,$50.00 ,5/8/2022,0
001PY00000ffIuIYAU,Washington,DC,,,,$40.00 ,5/17/2022,0
001PY00000ffP8sYAE,Washington,DC,,,,$200.00 ,8/31/2023,0
001PY00000ffQQdYAM,Washington,DC,,,,$250.00 ,6/10/2024,1
001PY00000ffBffYAE,Washington,DC,,,,"$4,135.00 ",9/23/2024,1
001PY00000ffKKRYA2,Washington,DC,,,,"$1,250.00 ",2/12/2025,2
001PY00000ffKZ8YAM,Washington,DC,,,,"$20,000.00 ",4/11/2025,1
001PY00000ffBhvYAE,Washington,DC,,,,"$1,337.56 ",5/23/2025,1
001PY00000lj0ouYAA,Washington,DC,,,,$1.03 ,5/28/2025,1
001PY00000fbbgfYAA,Washington,DC,,,,"$25,000.00 ",6/29/2022,0
001PY00000fbcb4YAA,Washington,DC,,,,"$3,026.79 ",2/28/2024,0
001PY00000fbbYvYAI,Washington,DC,,,,"$17,582.46 ",2/18/2025,1
001PY00000fbcbuYAA,Washington,DC,,,,"$503,722.11 ",10/2/2025,21
001PY00000ffBScYAM,Lewes,DE,,,,$25.00 ,12/30/2022,0
001PY00000fea2tYAA,Wilmington,DE,,,,$80.00 ,5/14/2024,1
001PY00000fbbXOYAY,Wilmington,DE,,,,$600.00 ,9/23/2020,0
001PY00000fbc6tYAA,Wilmington,DE,,,,"$81,000.00 ",10/28/2024,2
001PY00000fbPluYAE,Wilmington,DE,,,,"$17,754.48 ",12/18/2024,1
001PY00000ehgxbYAA,Aventura,FL,,,,"$85,000.00 ",5/23/2025,1
001PY00000ffKKVYA2,Bal Harbour,FL,,,,"$2,500.00 ",1/16/2023,0
001PY00000ffKEtYAM,Boca Raton,FL,,,,$50.00 ,11/10/2022,0
001PY00000feAJcYAM,Boca Raton,FL,,,,"$1,020.00 ",9/7/2023,0
001PY00000fbbhIYAQ,Boca Raton,FL,,,,$50.00 ,8/30/2023,0
001PY00000ff333YAA,Bonita Springs,FL,,,,"$1,050.00 ",3/5/2025,1
001PY00000ffPG1YAM,Bradenton,FL,,,,$25.00 ,9/15/2023,0
001PY00000ffBGPYA2,Cape Coral,FL,,,,$200.00 ,12/31/2020,0
001PY00000ffQtkYAE,Cape Coral,FL,,,,$3.00 ,12/16/2024,2
001PY00000ffMbHYAU,Clearwater,FL,,,,$25.00 ,4/17/2023,0
001PY00000ffQBwYAM,Clearwater,FL,,,,$315.00 ,9/22/2025,21
001PY000016ALVXYA4,COCOA BEACH,FL,,,,$3.09 ,10/13/2025,1
001PY00000ffDlnYAE,Coral Gables,FL,,,,"$3,000.00 ",4/9/2023,0
001PY00000fea2aYAA,Flagler Beach,FL,,,,$5.18 ,5/17/2022,0
001PY00000ffBFKYA2,Fort Lauderdale,FL,,,,$200.00 ,7/29/2020,0
001PY00000ffBSOYA2,Fort Myers,FL,,,,$207.50 ,4/1/2021,0
001PY00000feFEYYA2,Fort Pierce,FL,,,,"$11,100.00 ",1/27/2021,0
001PY00000ffR4rYAE,Gainesville,FL,,,,$50.00 ,11/21/2024,1
001PY00000ff3OGYAY,Green Cove Springs,FL,,,,$160.00 ,10/2/2021,0
001PY00000ffHtgYAE,Green Cove Springs,FL,,,,$300.00 ,12/14/2021,0
001PY00000ff3H2YAI,Gulfport,FL,,,,$70.00 ,6/6/2022,0
001PY00000feiuAYAQ,Hernando,FL,,,,$281.24 ,2/5/2025,1
001PY00000ffFRZYA2,Homosassa,FL,,,,$125.00 ,1/24/2020,0
001PY00000ffHalYAE,Jacksonville,FL,,,,$35.00 ,10/14/2021,0
001PY00000fecNXYAY,Jacksonville,FL,,,,$1.00 ,11/29/2022,0
001PY00000ffKKEYA2,Jacksonville,FL,,,,$100.00 ,12/6/2022,0
001PY00000ffQDTYA2,Jupiter,FL,,,,$40.00 ,5/7/2024,1
001PY00000ffDDDYA2,Jupiter,FL,,,,"$11,000.00 ",12/27/2024,3
001PY00000ffF6AYAU,Maitland,FL,,,,$25.88 ,9/17/2020,0
001PY00000feeJsYAI,Marco Island,FL,,,,$50.00 ,5/3/2021,0
001PY00000ffNW4YAM,Melbourne,FL,,,,$18.00 ,4/21/2023,0
001PY00000kB7KAYA0,Miami,FL,,,,$3.00 ,5/15/2025,1
001PY00000ffI93YAE,Miami Beach,FL,,,,$75.00 ,3/24/2021,0
001PY00000feYR9YAM,Miami Beach,FL,,,,$150.00 ,3/25/2021,0
001PY00000ffJjPYAU,Miami Beach,FL,,,,$35.00 ,8/13/2022,0
001PY00000ff8t2YAA,Naples,FL,,,,$900.00 ,12/30/2022,0
001PY00000ffG3KYAU,Nokomis,FL,,,,$52.50 ,10/29/2020,0
001PY00000ffBNEYA2,North Bay Village,FL,,,,"$3,030.00 ",4/5/2025,13
001PY00000ffAXIYA2,Ocala,FL,,,,$600.00 ,7/7/2025,1
001PY00000ffPGlYAM,Orlando,FL,,,,$50.00 ,9/24/2023,0
001PY00000ffPspYAE,Orlando,FL,,,,$25.00 ,3/27/2024,0
001PY00000ffGtpYAE,Palm Beach,FL,,,,$25.00 ,5/9/2021,0
001PY00000ffG3HYAU,Palm City,FL,,,,$26.25 ,10/28/2020,0
001PY00000ff4kGYAQ,Pinellas Park,FL,,,,$145.00 ,6/19/2020,0
001PY00000ff53QYAQ,Placida,FL,,,,$475.00 ,9/18/2024,2
001PY00000ff0scYAA,Port Charlotte,FL,,,,"$1,030.00 ",10/23/2023,0
001PY00000ffEBcYAM,Port Saint Lucie,FL,,,,$302.50 ,1/28/2022,0
001PY00000ffETJYA2,Port Saint Lucie,FL,,,,$448.00 ,4/21/2025,13
001PY00000ffFbCYAU,Port St Lucie,FL,,,,$0.01 ,10/27/2020,0
001PY00000ffF66YAE,Riverview,FL,,,,$35.00 ,3/21/2021,0
001PY00000fbbU9YAI,Safety Harbor,FL,,,,"$1,072.49 ",6/30/2024,1
001PY00000ff3NXYAY,Saint Petersburg,FL,,,,$310.00 ,2/24/2025,1
001PY00000ff1F8YAI,Sanibel,FL,,,,$330.00 ,5/13/2020,0
001PY00000fekw5YAA,Sarasota,FL,,,,$295.00 ,9/29/2021,0
001PY00000ff7eDYAQ,Sarasota,FL,,,,$963.00 ,1/4/2024,0
001PY00000ffQugYAE,Sarasota,FL,,,,$400.00 ,9/16/2024,1
001PY00000ehizhYAA,St. Augustine,FL,,,,$360.00 ,6/21/2022,0
001PY00000ffIbIYAU,Sunny Island Beach,FL,,,,$259.07 ,5/6/2022,0
001PY00000ffCfRYAU,Surfside,FL,,,,$40.00 ,9/24/2020,0
001PY00000ffJnEYAU,Tallahassee,FL,,,,$70.00 ,9/21/2022,0
001PY00000ffMapYAE,Tampa,FL,,,,$20.00 ,4/8/2023,0
001PY00000ffKizYAE,The Villages,FL,,,,$200.00 ,2/15/2022,0
001PY00000ffASRYA2,Venice,FL,,,,$965.00 ,10/8/2025,1
001PY00000ffFTPYA2,Vero Beach,FL,,,,"$1,000.00 ",10/6/2020,0
001PY00000ffOh3YAE,Vero Beach,FL,,,,$35.00 ,7/30/2023,0
001PY00000ffMatYAE,Winter Park,FL,,,,$25.00 ,4/9/2023,0
001PY00000fyRdPYAU,,FL,,,,$50.00 ,1/14/2025,1
001PY00000ffGizYAE,Acworth,GA,,,,$15.00 ,5/7/2021,0
001PY00000feCQ8YAM,Atlanta,GA,,,,"$2,587.50 ",9/14/2020,0
001PY00000ffH1fYAE,Atlanta,GA,,,,$105.00 ,10/28/2020,0
001PY00000ffJj4YAE,Atlanta,GA,,,,$36.00 ,8/7/2022,0
001PY00000ffJj3YAE,Atlanta,GA,,,,$250.00 ,8/8/2022,0
001PY00000ffJjAYAU,Atlanta,GA,,,,$108.00 ,8/8/2022,0
001PY00000ffJjCYAU,Atlanta,GA,,,,$35.00 ,8/8/2022,0
001PY00000ffJjFYAU,Atlanta,GA,,,,$35.00 ,8/9/2022,0
001PY00000ffJjQYAU,Atlanta,GA,,,,$100.00 ,8/13/2022,0
001PY00000feG0ZYAU,Atlanta,GA,,,,$25.00 ,8/15/2022,0
001PY00000feG0gYAE,Atlanta,GA,,,,$250.00 ,8/22/2022,0
001PY00000feG14YAE,Atlanta,GA,,,,$250.00 ,8/29/2022,0
001PY00000fetj3YAA,Atlanta,GA,,,,$36.00 ,10/26/2022,0
001PY00000fecNVYAY,Atlanta,GA,,,,$50.00 ,11/27/2022,0
001PY00000febjAYAQ,Atlanta,GA,,,,"$13,550.00 ",12/20/2024,2
001PY00000ffJjOYAU,Chamblee,GA,,,,$35.00 ,8/12/2022,0
001PY00000feqMbYAI,Darien,GA,,,,"$1,250.00 ",8/20/2021,0
001PY00000ffJjBYAU,Decatur,GA,,,,$35.00 ,8/8/2022,0
001PY00000ffJjJYAU,Decatur,GA,,,,$50.00 ,8/10/2022,0
