,Location,Country,City,Borough,County,{
138,"Florham Park, New Jersey",US,Florham Park, ,Morris,
139,"Malden On Hudson, New York",US,Saugerties,Malden-on-Hudson,Ulster,
140,"Herkimer, New York",US, , ,Herkimer,
141,"Spring Valley, New York",US,Spring Valley, ,Rockland,
142,"Lake Peekskill, New York",US,Putnam Valley,Lake Peekskill,Putnam,
143,"Bangor, Maine",US,Bangor, ,Penobscot,
144,"Locust Valley, New York",US,Locust Valley, ,Nassau,
145,"Oakland Gardens, New York",US,Oakland Gardens,Queens, ,
146,"Atlanta, Georgia",US,Atlanta, ,Fulton,
147,"Levittown, New York",US,Levittown, ,Nassau,
148,"Norwood, New Jersey",US,Norwood, ,Bergen,
149,"Carle Place, New York",US,Carle Place, ,Nassau,
150,"Glendale, New York",US,La Crescenta,Highway Highlands,Los Angeles,
151,"West Newton, Massachussets",US,Newton, ,Middlesex,
152,"Cassadaga, New York",US,Stockton,Cassadaga,Chautauqua,
153,"Rockville Centre, New York",US,Rockville Centre, ,Nassau,
154,"Columbiaville, New York",US,Stockport,Columbiaville,Columbia,
155,"Oyster Bay, New York",US,Oyster Bay, ,Nassau,
156,"Redding Center, Connecticut",US,Redding, ,Western Connecticut Planning Region,
157,"Purchase, New York",US,Harrison,Purchase,Westchester,
158,"Warwick, New York",US,Warwick,Warwick,Orange,
159,"Salisbury, Connecticut",US,Salisbury, ,Northwest Hills Planning Region,
160,"Stanfordville, New York",US,Stanfordville, ,Dutchess,
161,"Vernon, New Jersey",US,Harding Township,New Vernon,Morris,
162,"Tarrytown, New York",US,Tarrytown, ,Westchester,
163,"Kensington, California",US,Kensington, ,Contra Costa,
164,"Los Ranchos, New Mexico",US,Los Ranchos de Albuquerque, ,Bernalillo,
165,"East Orange, New Jersey",US,East Orange, ,Essex,
166,"Long Island City, New York",US,Long Island City,Queens, ,
167,"Honeoye Falls, New York",US,Mendon,Honeoye Falls,Monroe County,
168,"Tillson, New York",US,Rosendale,Tillson,Ulster,
169,"Patchogue, New York",US,Brookhaven,Patchogue,Suffolk,
170,"New Milford, New Jersey",US,New Milford, ,Bergen,
171,"Pasadena, California",US,Pasadena, ,Los Angeles,
172,"Lindenhurst, New York",US,Babylon,Lindenhurst,Suffolk,
173,"Indianapolis, Indiana",US,Indianapolis, ,Marion County,
174,"Menands, New York",US,Colonie,Menands,Albany,
175,"Bantam, Connecticut",US,Litchfield,Bantam,Northwest Hills Planning Region,
176,"Greenwich, New York",US,New York,Manhattan, ,
177,"Alpha, New Jersey",US,Alpha, ,Warren,
178,"Wheaton, Illinois",US,Wheaton, ,DuPage County,
179,"Jersey City, New Jersey",US,Jersey City, ,Hudson,
180,"Watervliet, New York",US,Watervliet, ,Albany,
181,"Haverford, Pennsylvania",US,Lower Merion Township,Haverford,Montgomery,
182,"Lynbrook, New York",US,Lynbrook, ,Nassau,
183,"Freeville, New York",US,Dryden,Freeville,Tompkins,
184,"Queens Village, New York",US,Queens Village,Queens, ,
185,"Tonawanda, New York",US,Tonawanda, ,Erie County,
186,"Neversink, New York",US,Neversink, ,Sullivan,
187,"Safety Harbor, Florida",US,Safety Harbor, ,Pinellas,
188,"North River, New York",US,Islip,North Great River,Suffolk,
189,"Cullman, Alabama",US, , ,Cullman,
190,"Slingerlands, New York",US,Bethlehem,Slingerlands,Albany,
191,"Woodhaven, New York",US,Woodhaven,Queens, ,
192,"Glen Oaks, New York",US,Glen Oaks,Queens, ,
193,"Rivervale, New Jersey",US,River Vale,Rivervale,Bergen,
194,"Selkirk, New York",US,Richland, ,Oswego,
195,"Binghampton, New York",US,Binghamton, ,Broome,
196,"Rensselaer, New York",US, , ,Rensselaer,
197,"Grand Gorge, New York",US,Roxbury,Grand Gorge,Delaware,
198,"Goldens Bridge, New York",US,Lewisboro,Goldens Bridge,Westchester,
199,"North Bellmore, New York",US,North Bellmore, ,Nassau,
200,"Narrowsburg, New York",US,Tusten,Narrowsburg,Sullivan,
201,"Quogue, New York",US,Southampton,Quogue,Suffolk,
202,"Whitestone, New York",US,Whitestone,Queens, ,
203,"West Orange, New Jersey",US,West Orange, ,Essex,
204,"Parsiappany, New York",US,New York, , ,
205,"Crompond, New York",US,Yorktown,Crompond,Westchester,
206,"Brewster, Massachussets",US,Brewster, ,Barnstable,
207,"Roslyn, New York",US,Roslyn, ,Nassau,
208,"Valatie, New York",US,Kinderhook,Valatie,Columbia,
209,"Englewood, New Jersey",US,Englewood, ,Bergen,
210,"Jamaica Plain, Massachussets",US,Boston,Jamaica Plain,Suffolk,
211,"Redding, Connecticut",US,Redding, ,Western Connecticut Planning Region,
212,"West Camp, New York",US,New York,Manhattan, ,
213,"Riverside, Illinois",US,Riverside, ,Cook County,
214,"Fort Pierce, Florida",US,Fort Pierce, ,Saint Lucie,
215,"Lagrangeville, New York",US,Lagrangeville, ,Dutchess,
216,"Westerville, Ohio",US,Westerville, ,Franklin County,
217,"Riverview, Florida",US,Riverview, ,Hillsborough,
218,"Wynnewood, Pennsylvania",US,Lower Merion Township,Wynnewood,Montgomery,
219,"Callicoon Center, New York",US,Town of Callicoon,Callicoon Center,Sullivan,
220,"Staatsburg, New York",US,Hyde Park,Staatsburg,Dutchess,
221,"Highland Lakes, New Jersey",US,Vernon Township, ,Sussex,
222,"Salisbury, North Carolina",US,Salisbury, ,Rowan,
223,"Easton, Connecticut",US,Easton, ,Greater Bridgeport Planning Region,
224,"Monticello, New York",US,Monticello, ,Sullivan,
225,"Fort Collins, Colorado",US,Fort Collins, ,Larimer,
226,"Herndon, Virginia",US,Herndon, ,Fairfax,
227,"Waldwick, New Jersey",US,Waldwick, ,Bergen,
228,"Corona Del Mar, California",US,Newport Beach, ,Orange,
229,"Williamsport, Pennsylvania",US,Williamsport, ,Lycoming,
230,"Taghanic, New York",US,New York, , ,
231,"Marlboro, New York",US,Marlboro, ,Ulster,
232,"Poughkeepsie, New York",US,Poughkeepsie, ,Dutchess,
233,"Homosassa, Florida",US,Homosassa, ,Citrus,
234,"Allston, Massachussets",US,Boston,Allston,Suffolk,
235,"Corttlandt Manor, New York",US,Cortlandt, ,Westchester,
236,"Pearl River, New York",US,Pearl River, ,Rockland,
237,"Wesley Hills, New York",US,Wesley Hills, ,Rockland,
238,"Westbury, New York",US,Westbury, ,Nassau,
239,"Ashland, Virginia",US,Ashland, ,Hanover,
240,"Bedford, New York",US,Bedford, ,Westchester,
241,"White Plains, New York",US,White Plains, ,Westchester,
242,"Portland, Oregon",US,Portland, ,Multnomah,
243,"Ofallon, Illinois",US,Odin, ,Marion,
244,"Newark, New Jersey",US,Newark, ,Essex,
245,"San Francisco, California",US,San Francisco, , ,
246,"Bluffton, South Carolina",US,Bluffton, ,Beaufort,
247,"Cupertino, California",US,Cupertino, ,Santa Clara,
248,"Florissant, Missouri",US,Florissant, ,Saint Louis County,
249,"Hartsdale, New York",US,Hartsdale, ,Westchester,
250,"Santa Maria, California",US,Santa Maria, ,Santa Barbara,
251,"Cherry Valley, New York",US,Cherry Valley,Cherry Valley,Otsego,
252,"Martinsville, New Jersey",US,Bridgewater Township,Martinsville,Somerset,
253,"Balston Lake, New York",US,Lakeview, ,Nassau,
254,"Portchester, New York",US,Wingdale, ,Dutchess,
255,"Newburgh, New York",US,Newburgh, ,Orange,
256,"Brielle, New Jersey",US,Brielle,Brielle Borough,Monmouth,
257,"Clifton, New Jersey",US,Clifton, ,Passaic,
258,"Ghent, New York",US,Ghent, ,Columbia,
259,"Buffalo, New York",US,Buffalo, ,Erie County,
260,"Fishkill, New York",US,Fishkill,Fishkill,Dutchess,
261,"Cresskill, New Jersey",US,Cresskill, ,Bergen,
262,"Darien, Georgia",US,Darien, ,McIntosh,
263,"Croton-On-Hudson, New York",US,Cortlandt,Croton-on-Hudson,Westchester,
264,"Weybridge, Vermont",US,Weybridge, ,Addison,
265,"Hannacroix, New York",US,New Baltimore,Hannacroix,Greene County,
266,"Hamilton, New Jersey",US,Hamilton Township, ,Mercer,
267,"New Paltz, New York",US,New Paltz,New Paltz,Ulster,
268,"Castleton-On-Hudson, Ny, Usa, New York",US,Castleton-on-Hudson, ,Rensselaer,
269,"Van Etten, New York",US,Van Etten, ,Chemung,
270,"Cuyler, New York",US, ,Cuyler,Cortland,
271,"Warminster, Pennsylvania",US,Warminster Township, ,Bucks,
272,"Rensselaerville, New York",US,Rensselaerville, ,Albany,
273,"Sunny Island Beach, Florida",US,Sunny Isles Beach, ,Miami-Dade,
274,"Beaver Dams, New York",US,Catlin,Beaver Dams,Chemung,
275,"New Hyde Park, New York",US,New Hyde Park, ,Nassau,
276,"Peekskill, New York",US,Peekskill, ,Westchester,
277,"New Fairfield, Connecticut",US,New Fairfield, ,Western Connecticut Planning Region,
278,"Medford, Oregon",US,Medford, ,Jackson,
279,"Paramus, New Jersey",US,Paramus, ,Bergen,
280,"Rye Brook, New York",US,Rye Brook, ,Westchester,
281,"Tuscon,  Arizona",US, , ,Pima,
282,"Sacramento, California",US,Sacramento, ,Sacramento,
283,"Greenfield, Massachussets",US,Greenfield, ,Franklin County,
284,"Rehoboth, Massachussets",US,Rehoboth, ,Bristol,
285,"Tallahassee, Florida",US,Tallahassee, ,Leon,
286,"Franklin Square, New York",US,Franklin Square, ,Nassau,
287,"Little Falls, New Jersey",US,Little Falls, ,Passaic,
288,"Boca Raton, Florida",US,Boca Raton, ,Palm Beach,
289,"Setauket, New York",US,Brookhaven,Setauket,Suffolk,
290,"Cold Spring, New York",US,Cold Spring, ,Putnam,
291,"Merrick, New York",US,Merrick, ,Nassau,
292,"Old Greenwich, Connecticut",US,Greenwich,Old Greenwich,Western Connecticut Planning Region,
293,"Maplewood, New Jersey",US,Maplewood, ,Essex,
294,"Far Rockaway, New York",US,New York,Queens, ,
295,"Westport, Connecticut",US,Westport, ,Western Connecticut Planning Region,
296,"Islip, New York",US,Islip, ,Suffolk,
297,"Princeton Junction, New Jersey",US,West Windsor,Princeton Junction,Mercer,
298,"Douglaston, New York",US,New York,Queens, ,
299,"Ravena, New York",US,Coeymans,Ravena,Albany,
300,"Buxton, Maine",US,Buxton, ,York,
301,"Bloomfield, New Jersey",US,Bloomfield, ,Essex,
302,"Gettysburg, Pennsylvania",US,Gettysburg, ,Adams,
303,"Houston, Texas",US,Houston, ,Harris,
304,"Monmouth Junction, New Jersey",US,South Brunswick,Monmouth Junction,Middlesex,
305,"Mechanicville, New York",US,Mechanicville, ,Saratoga,
306,"Wurtsboro, New York",US,Wurtsboro, ,Sullivan,
307,"Saco, Maine",US,Saco, ,York,
308,"Montgomery, New York",US, , ,Montgomery,
309,"Spencer, New York",US,Spencer,Spencer,Tioga,
310,"Upper Montclair, New Jersey",US,Montclair,Upper Montclair,Essex,
311,"Bloomington, New York",US,Rosendale,Bloomington,Ulster,
312,"Nokomis, Florida",US,Nokomis, ,Sarasota,
313,"Wilton, Connecticut",US,Wilton, ,Western Connecticut Planning Region,
314,"Grandview-On-Hudson, New York",US,Cornwall,Cornwall-on-Hudson,Orange,
315,"Hernando, Florida",US, , ,Hernando,
316,"Wolverine Lake, Michigan",US,Commerce Charter Township,Wolverine Lake,Oakland,
317,"Elkins Park, Pennsylvania",US,Elkins Park,Elkins Park Gardens,Montgomery,
318,"Watermill, New York",US,Southampton, ,Suffolk,
319,"Stuyvesant Falls, New York",US,Stuyvesant,Stuyvesant Falls,Columbia,
320,"Madison, Connecticut",US,Madison, ,South Central Connecticut Planning Region,
321,"Cortlandt, New York",US,Cortlandt, ,Westchester,
322,"West Hempstead, New York",US,West Hempstead, ,Nassau,
323,"Melbourne, Florida",US,Melbourne, ,Brevard County,
324,"Phoencicia, New York",US,Shandaken,Phoenicia,Ulster,
325,"Niverville, New York",US,Kinderhook,Niverville,Columbia,
326,"Toronto, ",US,Toronto, ,Golden Horseshoe,
327,"Preston, Maryland",US,Preston, ,Caroline,
328,"Ridgewood, New Jersey",US,Ridgewood, ,Bergen,
329,"Pullman, Washington",US,Pullman, ,Whitman,
330,"Orlando, Florida",US,Orlando, ,Orange County,
331,"West Babylon, New York",US,Babylon,West Babylon,Suffolk,
332,"Columbia, Missouri",US,Columbia, ,Boone,
333,"Sea Isle City, New Jersey",US,Sea Isle City, ,Cape May,
334,"Virginia Beach, Virginia",US,Virginia Beach, , ,
335,"Irwin, Pennsylvania",US,Irwin, ,Westmoreland,
336,"Laramie, Wyoming",US,Laramie, ,Albany,
337,"Encino, California",US,Los Angeles,Encino,Los Angeles,
338,"New Milford, Connecticut",US,New Milford, ,Western Connecticut Planning Region,
339,"Sheffield, Massachussets",US,Sheffield, ,Berkshire,
340,"Southport, Connecticut",US,Southport,Southport,Greater Bridgeport Planning Region,
341,"Esopus, New York",US,Esopus, ,Ulster,
342,"Glens Falls, New York",US,Glens Falls, ,Warren,
343,"Asbury Park, New Jersey",US,Asbury Park, ,Monmouth,
344,"Upper Nyack, New York",US,Upper Nyack, ,Rockland,
345,"Leonia, New Jersey",US,Leonia, ,Bergen,
346,"North Egremont, Massachussets",US,Egremont, ,Berkshire,
347,"Maspeth, New York",US,Maspeth,Queens, ,
348,"Buchanan, New York",US,Cortlandt,Buchanan,Westchester,
349,"Norht Creek, New York",US,Yonkers, ,Westchester,
350,"Westfield, Massachussets",US,Westfield, ,Hampden,
351,"Kingston, New York",US,Kingston, ,Ulster,
352,"Clarksburg, Massachussets",US,Clarksburg, ,Berkshire,
353,"Brooklyn, New York",US,New York,Brooklyn, ,
354,"East Meadow, New York",US,East Meadow, ,Nassau,
355,"Broadalbin, New York",US,Broadalbin, ,Fulton,
356,"Chico, California",US,Chico, ,Butte,
357,"Rocky Point, New York",US,Brookhaven,Rocky Point,Suffolk,
358,"Hoboken, New Jersey",US,Hoboken, ,Hudson,
359,"Eldred, New York",US,Highland,Eldred,Sullivan,
360,"Round Lake, New York",US,Malta,Round Lake,Saratoga,
361,"Hopkins, South Carolina",US, ,Hopkins,Richland,
362,"Chelsea, New York",US,Chelsea,Manhattan, ,
363,"Lakeville, Massachussets",US,Lakeville, ,Plymouth,
364,"Phoenicia, New York",US,Shandaken,Phoenicia,Ulster,
365,"Bishops Corner, Connecticut",US,Southington,Bishops Corner,Capitol Planning Region,
366,"East Nassau, New York",US,Nassau,East Nassau,Rensselaer,
367,"Dalmar, New York",US,New York, , ,
368,"Lake Luzerne, New York",US,Lake Luzerne, ,Warren,
369,"Halethorpe, Maryland",US,Arbutus,Halethorpe,Baltimore County,
370,"Port Chester, New York",US,Port Chester, ,Westchester,
371,"Rock Hill, New York",US,Rock Hill, ,Sullivan,
372,"Oklahoma City, Oklahoma",US,Oklahoma City, ,Oklahoma,
373,"Sau, New York",US,Saugerties,Saugerties,Ulster,
374,"Newfane, New York",US,Newfane, ,Niagara,
375,"Suwanee, Georgia",US,Suwanee, ,Gwinnett,
376,"Bradenton, Florida",US,Bradenton, ,Manatee,
377,"Highlands, New Jersey",US,Highlands, ,Monmouth,
378,"Oakland, New Jersey",US,Oakland, ,Bergen,
379,"Winter Park, Florida",US,Winter Park, ,Orange County,
380,"Charlevoix, Michigan",US, , ,Charlevoix,
381,"Mout Bethel, Pennsylvania",US,Bethel Park, ,Allegheny,
382,"Bayonne, New Jersey",US,Bayonne, ,Hudson,
383,"Powell, Tennessee",US,Powell, ,Knox,
384,"Fair Lawn, New Jersey",US,Fair Lawn, ,Bergen,
385,"Corning, New York",US,Corning, ,Steuben,
386,"East Greenbush, New York",US,East Greenbush, ,Rensselaer,
387,"Shelburne, Vermont",US,Shelburne, ,Chittenden,
388,"Williamsport, Indiana",US,Williamsport, ,Warren,
389,"Lewes, Delaware",US,Lewes, ,Sussex,
390,"East Brunswick, New Jersey",US,East Brunswick, ,Middlesex,
391,"Craryville, New York",US,Copake,Craryville,Columbia,
392,"Montvale, New Jersey",US,Montvale, ,Bergen,
393,"Woodside, New York",US,New York,Queens, ,
394,"East Rockaway, New York",US,East Rockaway, ,Nassau,
395,"West Nyack, New York",US,West Nyack, ,Rockland,
396,"Midland Park, New Jersey",US,Midland Park, ,Bergen,
397,"Santa Monica, California",US,Santa Monica, ,Los Angeles,
398,"Greenlawn, New York",US,Huntington,Greenlawn,Suffolk,
399,"Coxsackie, New York",US,Coxsackie,Coxsackie,Greene County,
400,"Ho Ho Kus, New Jersey",US,Ho-Ho-Kus, ,Bergen,
401,"North Bergen, New Jersey",US,North Bergen, ,Hudson,
402,"Oxford, Ohio",US,Oxford, ,Butler,
403,"Roxbury, New York",US,Roxbury, ,Delaware,
404,"Westhampton Beach, New York",US,Southampton,Westhampton Beach,Suffolk,
405,"Springfield, New Jersey",US,Springfield Township, ,Union,
406,"Indiana, Pennsylvania",US, , ,Indiana,
407,"Hyde Park, New York",US,New Hyde Park, ,Nassau,
408,"Bridport, Vermont",US, ,Bridport,Addison,
409,"Andes, New York",US,Andes, ,Delaware,
410,"Guilderland, New York",US,Guilderland, ,Albany,
411,"Mesa,  Arizona",US,Mesa, ,Maricopa,
412,"Durham, North Carolina",US,Durham, ,Durham,
413,"Amsterdam, New York",US,New York,Manhattan, ,
414,"Ridgefield, Connecticut",US,Ridgefield, ,Western Connecticut Planning Region,
415,"Coeymans Hollow, New York",US,Coeymans,Coeymans Hollow,Albany,
416,"Yonkers, Virginia",US,Yonkers, ,Westchester,
417,"Cambridge, New York",US,Cambridge, ,Washington,
418,"Kew Gardens, New York",US,New York,Queens, ,
419,"Villanova, Pennsylvania",US,Radnor Township,Villanova,Delaware,
420,"Bowling Green, Ohio",US,Bowling Green, ,Wood,
421,"Cornwall-On-Hudson, New York",US,Cornwall,Cornwall-on-Hudson,Orange,
422,"Shrub Oak, New York",US,Yorktown,Shrub Oak,Westchester,
423,"Akron, Ohio",US,Akron, ,Summit,
424,"Burnt Hills, New York",US,Ballston,Burnt Hills,Saratoga,
425,"Loudonville, New York",US,Colonie,Loudonville,Albany,
426,"Breezy Point, New York",US,Breezy Point,Queens, ,
427,"Valley Stream, New York",US,Valley Stream, ,Nassau,
428,"Roslyn Heights, New York",US,Roslyn Heights, ,Nassau,
429,"Wayne, New Jersey",US,Wayne, ,Passaic,
430,"Blairstown, New Jersey",US,Blairstown, ,Warren,
431,"Germantown, New York",US,Germantown, ,Columbia,
432,"Water Mill, New York",US,Southampton,Water Mill,Suffolk,
433,"Mamaroneck, New York",US,Mamaroneck, ,Westchester,
434,"Baldwin, New York",US,Baldwin, ,Nassau,
435,"Richmond, Virginia",US,Richmond, , ,
436,"Williston Park, New York",US,Williston Park, ,Nassau,
437,"Sparrowbush, New York",US,Livingston, ,Columbia,
438,"Lake Grove, New York",US,Brookhaven,Lake Grove,Suffolk,
439,"Miami, Florida",US,Miami, ,Miami-Dade,
440,"Cooperstown, New York",US,Cooperstown, ,Otsego,
441,"Parkville, Missouri",US,Parkville, ,Platte,
442,"Darien, Connecticut",US,Darien, ,Western Connecticut Planning Region,
443,"Millbrook, New York",US,Millbrook, ,Dutchess,
444,"Northborough, Massachussets",US,Northborough, ,Worcester County,
445,"Kingston, ",US,Kingston, ,Kingston,
446,"Suffern, New York",US,Suffern, ,Rockland,
447,"Fort Lauderdale, Florida",US,Fort Lauderdale, ,Broward County,
448,"Niskayuna, New York",US,Niskayuna, ,Schenectady County,
449,"New Hamburg, New York",US,New Hamburg, ,Dutchess,
450,"Fort Montgomery, New York",US,Fort Montgomery, ,Orange,
